epoch,train_loss,train_acc,test_loss,test_acc,elapsed_s
1,1.706364,0.938065,2.784220,0.894444,0.000000
2,0.764995,0.965901,1.617150,0.933333,0.100000
3,0.353541,0.979819,1.414306,0.947222,0.200000
4,0.313923,0.980515,1.508489,0.947222,0.200000
5,0.321802,0.982603,1.181161,0.944444,0.300000
6,0.250119,0.984690,1.190125,0.952778,0.300000
7,0.225978,0.984690,1.207011,0.947222,0.400000
8,0.221682,0.986082,1.188813,0.944444,0.400000
9,0.168358,0.988866,1.186391,0.944444,0.500000
10,0.179069,0.988170,1.205518,0.936111,0.500000
11,0.167272,0.988866,1.174874,0.938889,0.600000
12,0.132490,0.988170,1.206983,0.944444,0.700000
13,0.117352,0.990953,1.257639,0.941667,0.700000
14,0.139117,0.988866,1.232389,0.938889,0.800000
15,0.116629,0.988866,1.264029,0.950000,0.800000
